Picture_ID,Gender,Race,Ground_Truth_Emotion,qwen_original_predicted,phi_original_predicted,idefics_original_predicted,Qwen_Context_Dependent,Phi_Context_Dependent,Idefics_Context_Dependent,qwen_original_joy,qwen_original_sadness,qwen_original_anger,qwen_original_fear,qwen_original_disgust,qwen_original_surprise,qwen_black_joy,qwen_black_sadness,qwen_black_anger,qwen_black_fear,qwen_black_disgust,qwen_black_surprise,phi_original_joy,phi_original_sadness,phi_original_anger,phi_original_fear,phi_original_disgust,phi_original_surprise,phi_black_joy,phi_black_sadness,phi_black_anger,phi_black_fear,phi_black_disgust,phi_black_surprise,idefics_original_joy,idefics_original_sadness,idefics_original_anger,idefics_original_fear,idefics_original_disgust,idefics_original_surprise,idefics_black_joy,idefics_black_sadness,idefics_black_anger,idefics_black_fear,idefics_black_disgust,idefics_black_surprise,qwen_original_confidence,qwen_black_confidence,phi_original_confidence,phi_black_confidence,idefics_original_confidence,idefics_black_confidence,Qwen_Context_Shift,Phi_Context_Shift,Idefics_Context_Shift,Qwen_Accuracy,Phi_Accuracy,Idefics_Accuracy,MME_Score,qwen_black_predicted,phi_black_predicted,idefics_black_predicted
IMG_0026,Female,East Asian,anger,anger,anger,anger,No,Yes,No,1,2,79,1,3,14,0,2,95,1,1,1,1,0,93,3,1,2,4,88,5,0,1,2,3,12,79,0,2,4,1,1,96,1,0,1,79,95,93,88,79,96,0,1,0,1,1,1,1,anger,sadness,anger
IMG_0027,Male,Latino,fear,surprise,surprise,anger,No,Yes,No,1,0,6,9,4,80,8,15,2,3,5,67,4,3,7,9,10,67,3,1,1,93,0,2,4,5,61,14,13,3,1,7,81,0,9,2,80,67,67,93,61,81,0,1,0,0,0,0,0,surprise,fear,anger
IMG_0028,Female,South Asian,anger,disgust,anger,anger,No,Yes,No,3,3,2,0,88,4,11,3,10,3,62,11,1,0,98,0,0,1,4,11,3,72,10,0,7,0,75,5,1,12,2,4,87,0,1,6,88,62,98,72,75,87,0,1,0,0,1,1,1,disgust,fear,anger
IMG_0029,Male,Latino,fear,disgust,fear,joy,No,No,Yes,1,6,4,2,76,11,10,0,17,1,72,0,2,1,7,88,1,1,2,0,0,96,1,1,93,2,0,2,1,2,3,1,1,19,74,2,76,72,88,96,93,74,0,0,1,0,1,0,0,disgust,fear,disgust
IMG_0030,Female,Caucasian White,fear,surprise,surprise,anger,No,No,No,30,3,4,2,1,60,4,1,2,15,6,72,11,1,13,6,0,69,3,1,6,9,6,75,2,0,84,3,10,1,2,4,82,1,6,5,60,72,69,75,84,82,0,0,0,0,0,0,0,surprise,surprise,anger
IMG_0031,Male,Caucasian White,disgust,joy,fear,surprise,No,No,No,83,0,6,1,6,4,80,4,9,3,0,4,1,9,3,82,2,3,3,8,5,77,4,3,6,0,1,0,0,93,1,1,2,2,1,93,83,80,82,77,93,93,0,0,0,0,0,0,0,joy,fear,surprise
IMG_0032,Male,South Asian,joy,joy,joy,joy,No,Yes,Yes,91,2,0,0,5,2,78,6,1,1,7,7,76,7,0,5,10,2,5,19,3,8,2,63,100,0,0,0,0,0,8,3,1,17,63,8,91,78,76,63,100,63,0,1,1,1,1,1,1,joy,surprise,disgust
IMG_0033,Male,Caucasian White,fear,disgust,surprise,sadness,No,Yes,No,3,3,7,7,75,5,4,1,3,10,82,0,11,4,8,9,2,66,17,65,6,4,2,6,5,86,1,1,6,1,10,71,3,7,1,8,75,82,66,65,86,71,0,1,0,0,0,0,0,disgust,sadness,sadness
IMG_0034,Male,Latino,surprise,disgust,fear,disgust,No,No,No,3,2,1,28,63,3,7,2,8,7,75,1,9,4,7,71,4,5,0,17,4,71,2,6,2,0,0,4,90,4,5,2,1,3,88,1,63,75,71,71,90,88,0,0,0,0,0,0,0,disgust,fear,disgust
IMG_0035,Male,Latino,disgust,sadness,fear,disgust,No,Yes,No,9,62,5,10,4,10,3,86,1,1,2,7,5,5,7,74,2,7,82,13,1,2,1,1,1,1,1,0,96,1,2,0,6,5,78,9,62,86,74,82,96,78,0,1,0,0,0,1,0,sadness,joy,disgust
IMG_0036,Male,Caucasian White,joy,joy,joy,joy,No,No,No,90,2,3,2,1,2,85,0,3,7,3,2,80,2,3,3,5,7,96,2,0,0,2,0,95,2,0,0,1,2,81,0,4,7,1,7,90,85,80,96,95,81,0,0,0,1,1,1,1,joy,joy,joy
IMG_0037,Female,Latino,surprise,sadness,fear,sadness,No,No,Yes,1,87,1,7,2,2,8,84,2,5,1,0,12,4,2,71,4,7,2,2,0,82,7,7,13,73,5,0,7,2,68,13,1,1,12,5,87,84,71,82,73,68,0,0,1,0,0,0,0,sadness,fear,joy
IMG_0038,Female,East Asian,surprise,disgust,fear,joy,Yes,No,No,1,3,32,1,62,1,84,5,0,4,3,4,1,2,3,78,12,4,0,1,4,93,1,1,74,7,5,1,12,1,74,7,12,1,3,3,62,84,78,93,74,74,1,0,0,0,0,0,0,joy,fear,joy
IMG_0039,Female,East Asian,anger,anger,anger,sadness,No,Yes,No,5,4,79,2,7,3,1,0,97,1,0,1,0,4,88,0,4,4,2,6,1,91,0,0,0,68,3,1,19,9,1,89,2,6,2,0,79,97,88,91,68,89,0,1,0,1,1,0,1,anger,fear,sadness
IMG_0040,Male,East Asian,fear,anger,disgust,surprise,No,No,Yes,7,1,89,0,2,1,29,0,69,0,0,2,15,3,1,0,68,13,8,2,3,19,68,0,6,10,6,2,9,67,0,6,81,2,5,6,89,69,68,68,67,81,0,0,1,0,0,0,0,anger,disgust,anger
IMG_0041,Female,Black American,joy,joy,joy,joy,No,No,Yes,92,0,2,2,2,2,82,9,2,3,3,1,100,0,0,0,0,0,82,4,5,3,6,0,78,3,2,11,1,5,4,1,1,10,13,71,92,82,100,82,78,71,0,0,1,1,1,1,1,joy,joy,surprise
IMG_0042,Female,South Asian,anger,joy,anger,anger,No,No,No,63,8,21,1,3,4,87,4,1,0,3,5,1,1,96,0,0,2,3,2,85,6,4,0,1,0,97,1,0,1,0,0,100,0,0,0,63,87,96,85,97,100,0,0,0,0,1,1,1,joy,anger,anger
IMG_0043,Male,Latino,joy,joy,joy,joy,No,No,No,87,2,0,10,0,1,83,1,3,3,7,3,87,2,7,0,0,4,87,0,3,5,2,3,76,1,8,9,2,4,78,3,2,1,9,7,87,83,87,87,76,78,0,0,0,1,1,1,1,joy,joy,joy
IMG_0044,Female,East Asian,fear,surprise,anger,anger,No,Yes,Yes,8,2,7,11,6,66,2,2,3,0,0,93,1,2,94,2,1,0,5,1,1,7,86,0,8,2,69,0,1,20,0,1,2,87,3,7,66,93,94,86,69,87,0,1,1,0,0,0,0,surprise,disgust,fear
IMG_0045,Female,Caucasian White,anger,anger,anger,anger,No,Yes,Yes,3,11,78,3,5,0,5,1,85,2,4,3,5,0,76,3,2,14,4,15,14,4,60,3,1,0,98,0,1,0,2,90,3,1,2,2,78,85,76,60,98,90,0,1,1,1,1,1,1,anger,disgust,sadness
IMG_0046,Female,South Asian,sadness,sadness,sadness,sadness,No,No,No,1,98,0,1,0,0,7,81,1,0,4,7,10,87,2,0,0,1,0,95,1,2,0,2,0,83,3,8,2,4,1,89,0,5,2,3,98,81,87,95,83,89,0,0,0,1,1,1,1,sadness,sadness,sadness
IMG_0047,Male,Black American,joy,joy,joy,joy,No,No,No,85,5,3,5,1,1,75,10,2,2,1,10,85,0,8,4,1,2,89,1,7,2,1,0,82,2,14,0,0,2,94,4,1,0,1,0,85,75,85,89,82,94,0,0,0,1,1,1,1,joy,joy,joy
IMG_0048,Male,South Asian,sadness,sadness,sadness,sadness,No,No,No,6,78,5,1,3,7,1,96,0,0,0,3,3,80,3,3,9,2,0,97,0,1,2,0,1,97,1,0,0,1,3,79,1,4,9,4,78,96,80,97,97,79,0,0,0,1,1,1,1,sadness,sadness,sadness
IMG_0049,Female,Black American,sadness,sadness,sadness,sadness,No,No,No,7,86,0,6,1,0,1,97,1,0,1,0,2,95,0,0,2,1,7,85,1,1,4,2,9,75,3,4,3,6,3,95,0,0,0,2,86,97,95,85,75,95,0,0,0,1,1,1,1,sadness,sadness,sadness
IMG_0050,Male,Black American,disgust,disgust,anger,disgust,No,No,No,0,0,3,14,81,2,2,3,2,4,86,3,2,3,82,1,9,3,1,2,83,6,1,7,2,5,1,5,85,2,3,0,2,2,88,5,81,86,82,83,85,88,0,0,0,1,0,1,1,disgust,anger,disgust
IMG_0051,Male,Latino,disgust,fear,joy,sadness,No,No,Yes,5,0,6,71,10,8,2,0,1,94,0,3,61,14,0,13,9,3,83,6,3,1,6,1,0,89,2,5,3,1,0,2,12,5,8,73,71,94,61,83,89,73,0,0,1,0,0,0,0,fear,joy,surprise
IMG_0052,Female,Latino,joy,joy,joy,joy,No,No,No,85,3,1,6,4,1,98,1,0,0,1,0,91,0,0,3,4,2,97,1,0,0,1,1,84,2,4,0,8,2,84,5,1,0,8,2,85,98,91,97,84,84,0,0,0,1,1,1,1,joy,joy,joy
IMG_0053,Female,Black American,disgust,surprise,joy,joy,No,No,Yes,2,4,0,19,10,65,0,10,5,4,1,80,77,13,1,0,8,1,84,10,1,1,3,1,66,1,1,8,6,18,1,2,78,18,0,1,65,80,77,84,66,78,0,0,1,0,0,0,0,surprise,joy,anger
IMG_0054,Female,South Asian,disgust,disgust,surprise,anger,No,No,Yes,0,1,5,6,87,1,3,0,14,3,75,5,1,7,0,1,5,86,0,3,3,1,17,76,3,15,63,1,6,12,68,2,0,18,5,7,87,75,86,76,63,68,0,0,1,1,0,0,0,disgust,surprise,joy
IMG_0055,Male,Black American,surprise,disgust,disgust,disgust,No,No,No,0,0,1,11,85,3,2,7,9,3,66,13,16,1,2,1,75,5,5,1,1,6,85,2,11,1,12,0,76,0,1,2,4,1,84,8,85,66,75,85,76,84,0,0,0,0,0,0,0,disgust,disgust,disgust
IMG_0056,Female,East Asian,disgust,disgust,anger,disgust,No,No,No,0,1,1,1,96,1,9,1,2,6,75,7,0,2,93,1,2,2,5,3,90,1,0,1,0,0,0,1,98,1,0,1,0,0,93,6,96,75,93,90,98,93,0,0,0,1,0,1,1,disgust,anger,disgust
IMG_0057,Male,South Asian,sadness,sadness,sadness,sadness,No,No,No,4,89,1,0,1,5,1,95,1,2,1,0,7,79,4,2,3,5,1,98,1,0,0,0,1,85,2,4,6,2,1,97,0,1,0,1,89,95,79,98,85,97,0,0,0,1,1,1,1,sadness,sadness,sadness
IMG_0058,Female,South Asian,surprise,sadness,disgust,fear,No,Yes,No,0,75,2,3,10,10,3,79,5,5,3,5,1,2,4,1,82,10,3,9,84,1,0,3,1,7,13,74,3,2,8,2,2,85,0,3,75,79,82,84,74,85,0,1,0,0,0,0,0,sadness,anger,fear
IMG_0059,Male,Caucasian White,fear,disgust,disgust,surprise,No,No,No,0,17,3,1,78,1,1,14,4,16,63,2,3,11,1,3,73,9,1,1,9,5,84,0,1,3,2,2,3,89,6,2,6,14,0,72,78,63,73,84,89,72,0,0,0,0,0,0,0,disgust,disgust,surprise
IMG_0060,Male,Caucasian White,sadness,sadness,sadness,sadness,No,Yes,Yes,2,92,2,0,0,4,3,90,1,2,3,1,1,99,0,0,0,0,3,13,6,1,13,64,7,80,4,3,5,1,3,5,1,78,5,8,92,90,99,64,80,78,0,1,1,1,1,1,1,sadness,surprise,fear
IMG_0061,Female,Caucasian White,surprise,anger,fear,sadness,No,No,No,3,4,82,1,0,10,9,6,81,3,1,0,3,3,1,90,1,2,8,6,1,79,1,5,6,66,2,11,3,12,1,87,3,5,3,1,82,81,90,79,66,87,0,0,0,0,0,0,0,anger,fear,sadness
IMG_0062,Male,Latino,disgust,fear,surprise,joy,No,No,Yes,1,2,1,90,4,2,15,7,12,61,1,4,1,14,1,8,7,69,2,3,8,7,7,73,79,5,5,2,8,1,14,3,2,2,79,0,90,61,69,73,79,79,0,0,1,0,0,0,0,fear,surprise,disgust
IMG_0063,Female,South Asian,fear,joy,joy,sadness,No,No,Yes,89,1,1,5,1,3,77,1,2,17,3,0,82,3,4,7,3,1,91,1,1,1,1,5,0,93,2,0,1,4,3,3,0,92,2,0,89,77,82,91,93,92,0,0,1,0,0,0,0,joy,joy,fear
IMG_0064,Male,East Asian,joy,joy,joy,joy,No,Yes,No,88,7,2,1,1,1,88,1,1,7,0,3,79,2,10,0,3,6,1,2,0,89,2,6,97,1,0,0,0,2,78,0,1,4,3,14,88,88,79,89,97,78,0,1,0,1,1,1,1,joy,fear,joy
IMG_0065,Female,East Asian,fear,anger,sadness,sadness,No,No,No,2,0,81,1,9,7,1,11,71,5,10,2,4,75,8,3,8,2,5,63,18,2,5,7,4,77,3,10,3,3,4,75,12,1,6,2,81,71,75,63,77,75,0,0,0,0,0,0,0,anger,sadness,sadness
IMG_0066,Female,Black American,sadness,sadness,sadness,sadness,No,No,Yes,2,94,4,0,0,0,2,82,7,7,1,1,1,92,2,3,1,1,6,83,1,4,3,3,0,95,3,0,0,2,12,3,6,1,15,63,94,82,92,83,95,63,0,0,1,1,1,1,1,sadness,sadness,surprise
IMG_0067,Male,Latino,anger,fear,anger,anger,No,No,No,12,3,11,69,4,1,8,2,2,75,6,7,6,0,86,4,4,0,0,5,86,2,3,4,4,3,90,1,1,1,3,3,79,1,8,6,69,75,86,86,90,79,0,0,0,0,1,1,1,fear,anger,anger
IMG_0068,Female,South Asian,surprise,fear,sadness,anger,No,No,Yes,2,6,1,78,6,7,3,4,2,90,1,0,0,93,1,1,2,3,4,70,9,6,0,11,14,4,74,4,0,4,1,0,2,88,1,8,78,90,93,70,74,88,0,0,1,0,0,0,0,fear,sadness,fear
IMG_0069,Male,South Asian,joy,joy,joy,joy,No,Yes,No,94,2,0,3,1,0,94,2,0,2,1,1,96,1,0,2,0,1,2,5,68,18,3,4,81,1,7,1,7,3,97,0,0,1,1,1,94,94,96,68,81,97,0,1,0,1,1,1,1,joy,anger,joy
IMG_0070,Female,Black American,sadness,sadness,sadness,sadness,No,Yes,Yes,8,83,2,1,2,4,2,80,2,3,9,4,10,78,2,2,2,6,2,5,8,0,1,84,5,79,9,4,1,2,2,5,12,10,0,71,83,80,78,84,79,71,0,1,1,1,1,1,1,sadness,surprise,surprise
IMG_0071,Female,South Asian,fear,joy,joy,sadness,No,Yes,No,78,12,0,2,0,8,88,4,5,2,0,1,87,0,0,1,2,10,4,84,6,3,0,3,1,91,3,1,4,0,2,84,1,3,7,3,78,88,87,84,91,84,0,1,0,0,0,0,0,joy,sadness,sadness
IMG_0072,Female,Latino,joy,joy,joy,joy,No,Yes,Yes,96,1,0,0,2,1,78,3,8,0,3,8,85,1,4,2,6,2,1,90,5,2,1,1,81,3,2,5,1,8,1,9,6,64,1,19,96,78,85,90,81,64,0,1,1,1,1,1,1,joy,sadness,fear
IMG_0073,Male,Latino,surprise,disgust,anger,joy,No,No,Yes,2,3,2,3,87,3,3,3,0,11,72,11,2,4,82,0,6,6,10,5,60,1,6,18,85,2,4,1,1,7,2,2,3,1,92,0,87,72,82,60,85,92,0,0,1,0,0,0,0,disgust,anger,disgust
IMG_0074,Female,Black American,disgust,sadness,fear,disgust,No,No,No,12,67,0,2,14,5,1,69,2,15,12,1,12,1,1,81,4,1,1,11,5,77,4,2,3,1,9,4,80,3,2,4,0,8,80,6,67,69,81,77,80,80,0,0,0,0,0,1,0,sadness,fear,disgust
IMG_0075,Male,Latino,disgust,fear,disgust,fear,No,Yes,No,0,3,0,94,2,1,3,9,6,74,1,7,3,1,1,1,93,1,1,0,93,2,0,4,0,2,5,90,2,1,3,2,0,94,1,0,94,74,93,93,90,94,0,1,0,0,1,0,0,fear,anger,fear
IMG_0076,Female,Black American,surprise,sadness,sadness,fear,No,No,Yes,4,79,5,0,3,9,10,78,3,5,4,0,2,63,22,2,3,8,13,60,0,14,1,12,4,4,22,66,1,3,8,1,3,5,75,8,79,78,63,60,66,75,0,0,1,0,0,0,0,sadness,sadness,disgust
IMG_0077,Female,Caucasian White,joy,joy,joy,joy,No,No,No,98,1,0,0,1,0,84,2,3,4,4,3,88,1,1,5,4,1,89,0,2,4,3,2,90,1,2,1,0,6,77,3,13,4,2,1,98,84,88,89,90,77,0,0,0,1,1,1,1,joy,joy,joy
IMG_0078,Female,Black American,surprise,disgust,fear,fear,No,No,No,9,12,4,3,70,2,15,2,7,1,71,4,3,3,2,90,1,1,0,9,0,71,15,5,1,1,6,88,4,0,13,0,9,68,4,6,70,71,90,71,88,68,0,0,0,0,0,0,0,disgust,fear,fear
IMG_0079,Female,East Asian,anger,sadness,fear,anger,Yes,No,No,-1,87,3,1,8,2,7,2,79,5,6,1,2,6,14,67,2,9,1,2,3,75,9,10,9,0,80,0,5,6,4,1,80,5,2,8,87,79,67,75,80,80,1,0,0,0,0,1,1,anger,fear,anger
IMG_0080,Female,East Asian,sadness,sadness,sadness,sadness,Yes,No,Yes,0,89,3,1,6,1,67,11,0,18,2,2,12,81,0,3,1,3,1,89,3,1,1,5,0,100,0,0,0,0,76,4,13,2,4,1,89,67,81,89,100,76,1,0,1,1,1,1,1,joy,sadness,joy
IMG_0081,Male,East Asian,fear,disgust,surprise,anger,No,Yes,Yes,1,18,1,5,67,8,4,1,0,9,83,3,1,2,9,0,5,83,2,62,10,4,5,17,8,5,64,1,5,17,1,0,27,3,1,68,67,83,83,62,64,68,0,1,1,0,0,0,0,disgust,sadness,surprise
IMG_0082,Male,East Asian,anger,anger,anger,anger,No,No,Yes,0,1,96,0,1,2,2,1,93,2,1,1,2,4,77,4,1,12,6,0,86,7,1,0,7,0,83,3,2,5,0,6,17,66,11,0,96,93,77,86,83,66,0,0,1,1,1,1,1,anger,anger,fear
IMG_0083,Female,Latino,disgust,disgust,surprise,surprise,No,No,Yes,1,1,13,1,75,9,3,1,7,3,76,10,7,2,0,2,1,88,1,3,0,4,2,90,3,4,5,7,14,67,3,2,66,12,1,16,75,76,88,90,67,66,0,0,1,1,0,0,0,disgust,surprise,anger
IMG_0084,Male,Black American,sadness,sadness,sadness,sadness,No,No,No,1,95,0,0,2,2,2,82,3,4,6,3,14,77,3,3,2,1,1,98,0,1,0,0,0,100,0,0,0,0,2,92,0,1,1,4,95,82,77,98,100,92,0,0,0,1,1,1,1,sadness,sadness,sadness
IMG_0085,Female,East Asian,disgust,joy,disgust,disgust,No,No,No,76,16,2,1,4,1,63,21,0,2,10,4,5,6,1,10,76,2,0,0,0,0,100,0,1,8,7,8,76,0,11,0,2,8,79,0,76,63,76,100,76,79,0,0,0,0,1,1,1,joy,disgust,disgust
IMG_0086,Female,East Asian,sadness,sadness,sadness,sadness,No,No,No,0,93,4,2,1,0,0,91,2,1,2,4,1,93,1,1,1,3,1,98,0,0,0,1,1,75,6,12,3,3,3,82,4,1,2,8,93,91,93,98,75,82,0,0,0,1,1,1,1,sadness,sadness,sadness
IMG_0087,Male,Latino,surprise,disgust,disgust,fear,No,Yes,No,5,8,2,0,79,6,5,1,1,11,82,0,4,5,2,6,73,10,0,4,82,11,2,1,4,1,19,64,8,4,1,0,1,93,1,4,79,82,73,82,64,93,0,1,0,0,0,0,0,disgust,anger,fear
IMG_0088,Male,East Asian,surprise,sadness,anger,joy,No,No,No,3,62,13,2,16,4,2,92,1,3,0,2,2,5,88,0,4,1,0,15,69,4,12,0,66,7,14,1,8,4,80,2,10,7,0,1,62,92,88,69,66,80,0,0,0,0,0,0,0,sadness,anger,joy
